 Mortalidade - São Paulo
Óbitos p/Residênc por Município
Categoria CID-10: B20   Doenc p/HIV result doenc infecc e parasit, B21   Doenc p/HIV result em neopl malig, B22   Doenc p/HIV result em outr doenc espec, B23   Doenc p/HIV result em outr doenc, B24   Doenc p/HIV NE
Período:2014
"Município";"Óbitos_p/Residênc"
"350030 Aguaí";1
"350050 Águas de Lindóia";1
"350070 Agudos";2
"350090 Altair";2
"350115 Alumínio";1
"350140 Álvaro de Carvalho";1
"350160 Americana";15
"350170 Américo Brasiliense";3
"350190 Amparo";4
"350210 Andradina";5
"350250 Aparecida";5
"350270 Apiaí";1
"350275 Araçariguama";1
"350280 Araçatuba";13
"350290 Araçoiaba da Serra";1
"350320 Araraquara";19
"350330 Araras";7
"350340 Arealva";1
"350390 Arujá";3
"350400 Assis";4
"350410 Atibaia";6
"350450 Avaré";2
"350460 Bady Bassitt";1
"350480 Bálsamo";1
"350510 Barbosa";1
"350530 Barra Bonita";3
"350550 Barretos";23
"350570 Barueri";20
"350590 Batatais";3
"350600 Bauru";41
"350610 Bebedouro";5
"350635 Bertioga";2
"350650 Birigui";4
"350660 Biritiba-Mirim";1
"350680 Bocaina";1
"350700 Boituva";2
"350710 Bom Jesus dos Perdões";1
"350750 Botucatu";5
"350760 Bragança Paulista";2
"350780 Brodowski";3
"350790 Brotas";1
"350810 Buritama";4
"350820 Buritizal";1
"350830 Cabrália Paulista";2
"350840 Cabreúva";2
"350850 Caçapava";11
"350860 Cachoeira Paulista";1
"350900 Caieiras";5
"350910 Caiuá";1
"350920 Cajamar";3
"350925 Cajati";4
"350940 Cajuru";2
"350950 Campinas";75
"350960 Campo Limpo Paulista";4
"350970 Campos do Jordão";2
"350990 Cananéia";2
"350995 Canas";1
"351000 Cândido Mota";1
"351020 Capão Bonito";1
"351040 Capivari";6
"351050 Caraguatatuba";8
"351060 Carapicuíba";29
"351080 Casa Branca";1
"351100 Castilho";1
"351110 Catanduva";13
"351130 Cedral";1
"351150 Cerquilho";4
"351190 Clementina";1
"351200 Colina";1
"351280 Cosmópolis";3
"351300 Cotia";15
"351310 Cravinhos";1
"351320 Cristais Paulista";1
"351340 Cruzeiro";11
"351350 Cubatão";17
"351380 Diadema";19
"351390 Divinolândia";1
"351410 Dois Córregos";4
"351440 Dracena";2
"351450 Duartina";2
"351460 Dumont";1
"351470 Echaporã";1
"351490 Elias Fausto";1
"351495 Embaúba";1
"351500 Embu das Artes";10
"351510 Embu-Guaçu";2
"351518 Espírito Santo do Pinhal";3
"355730 Estiva Gerbi";1
"351550 Fernandópolis";8
"351570 Ferraz de Vasconcelos";9
"351600 Flórida Paulista";1
"351620 Franca";30
"351630 Francisco Morato";13
"351640 Franco da Rocha";9
"351660 Gália";1
"351670 Garça";2
"351700 Getulina";1
"351720 Guaiçara";1
"351740 Guaíra";1
"351750 Guapiaçu";1
"351760 Guapiara";1
"351780 Guaraçaí";1
"351790 Guaraci";1
"351810 Guarantã";1
"351820 Guararapes";1
"351830 Guararema";2
"351840 Guaratinguetá";12
"351870 Guarujá";29
"351880 Guarulhos";77
"351905 Holambra";1
"351907 Hortolândia";10
"351910 Iacanga";2
"351925 Iaras";2
"351930 Ibaté";3
"351960 Ibitinga";4
"351970 Ibiúna";1
"351980 Icém";1
"352000 Igaraçu do Tietê";1
"352010 Igarapava";2
"352020 Igaratá";1
"352030 Iguape";2
"352042 Ilha Comprida";1
"352044 Ilha Solteira";2
"352040 Ilhabela";2
"352050 Indaiatuba";9
"352090 Ipaussu";1
"352100 Iperó";2
"352115 Ipiguá";1
"352140 Iracemápolis";1
"352170 Itaberá";2
"352190 Itajobi";1
"352210 Itanhaém";9
"352220 Itapecerica da Serra";11
"352230 Itapetininga";8
"352240 Itapeva";2
"352250 Itapevi";10
"352260 Itapira";10
"352270 Itápolis";1
"352280 Itaporanga";2
"352310 Itaquaquecetuba";23
"352320 Itararé";6
"352340 Itatiba";5
"352360 Itirapina";1
"352390 Itu";5
"352400 Itupeva";1
"352410 Ituverava";5
"352430 Jaboticabal";9
"352440 Jacareí";14
"352460 Jacupiranga";1
"352470 Jaguariúna";4
"352480 Jales";2
"352500 Jandira";5
"352510 Jardinópolis";2
"352520 Jarinu";2
"352530 Jaú";10
"352560 João Ramalho";1
"352570 José Bonifácio";3
"352590 Jundiaí";17
"352600 Junqueirópolis";2
"352610 Juquiá";1
"352630 Lagoinha";3
"352640 Laranjal Paulista";2
"352650 Lavínia";2
"352670 Leme";16
"352680 Lençóis Paulista";1
"352690 Limeira";16
"352710 Lins";9
"352720 Lorena";10
"352790 Lutécia";1
"352800 Macatuba";1
"352850 Mairiporã";2
"352900 Marília";10
"352930 Matão";4
"352940 Mauá";20
"352950 Mendonça";1
