 Mortalidade - São Paulo
Óbitos p/Residênc por Município
Categoria CID-10: B20   Doenc p/HIV result doenc infecc e parasit, B21   Doenc p/HIV result em neopl malig, B22   Doenc p/HIV result em outr doenc espec, B23   Doenc p/HIV result em outr doenc, B24   Doenc p/HIV NE
Período:2015
"Município";"Óbitos_p/Residênc"
"350010 Adamantina";2
"350030 Aguaí";1
"350050 Águas de Lindóia";1
"350070 Agudos";1
"350120 Álvares Florence";1
"350140 Álvaro de Carvalho";1
"350160 Americana";12
"350190 Amparo";6
"350210 Andradina";5
"350250 Aparecida";4
"350260 Aparecida d'Oeste";1
"350275 Araçariguama";1
"350280 Araçatuba";24
"350290 Araçoiaba da Serra";3
"350320 Araraquara";23
"350330 Araras";3
"350380 Artur Nogueira";1
"350390 Arujá";3
"350400 Assis";4
"350410 Atibaia";3
"350420 Auriflama";2
"350450 Avaré";5
"350460 Bady Bassitt";1
"350490 Bananal";1
"350510 Barbosa";1
"350520 Bariri";1
"350530 Barra Bonita";1
"350550 Barretos";15
"350560 Barrinha";3
"350570 Barueri";21
"350580 Bastos";1
"350590 Batatais";1
"350600 Bauru";37
"350610 Bebedouro";10
"350635 Bertioga";2
"350650 Birigui";6
"350660 Biritiba-Mirim";1
"350680 Bocaina";2
"350700 Boituva";1
"350750 Botucatu";7
"350760 Bragança Paulista";10
"350780 Brodowski";2
"350790 Brotas";4
"350840 Cabreúva";2
"350850 Caçapava";7
"350880 Cafelândia";1
"350900 Caieiras";1
"350920 Cajamar";5
"350925 Cajati";3
"350930 Cajobi";1
"350940 Cajuru";2
"350950 Campinas";64
"350960 Campo Limpo Paulista";4
"350970 Campos do Jordão";1
"350990 Cananéia";1
"350995 Canas";1
"351010 Cândido Rodrigues";1
"351020 Capão Bonito";4
"351030 Capela do Alto";1
"351040 Capivari";5
"351050 Caraguatatuba";12
"351060 Carapicuíba";22
"351070 Cardoso";1
"351090 Cássia dos Coqueiros";1
"351110 Catanduva";5
"351130 Cedral";1
"351140 Cerqueira César";1
"351150 Cerquilho";3
"351210 Colômbia";1
"351230 Conchas";2
"351240 Cordeirópolis";1
"351280 Cosmópolis";3
"351300 Cotia";10
"351310 Cravinhos";3
"351320 Cristais Paulista";1
"351340 Cruzeiro";6
"351350 Cubatão";9
"351370 Descalvado";2
"351380 Diadema";16
"351420 Dolcinópolis";2
"351440 Dracena";1
"351450 Duartina";1
"351490 Elias Fausto";1
"351500 Embu das Artes";19
"351510 Embu-Guaçu";4
"351518 Espírito Santo do Pinhal";3
"355730 Estiva Gerbi";1
"351550 Fernandópolis";5
"351570 Ferraz de Vasconcelos";13
"351600 Flórida Paulista";1
"351620 Franca";23
"351630 Francisco Morato";11
"351640 Franco da Rocha";12
"351660 Gália";2
"351685 Gavião Peixoto";1
"351700 Getulina";1
"351710 Glicério";1
"351730 Guaimbê";1
"351740 Guaíra";7
"351760 Guapiara";1
"351820 Guararapes";1
"351830 Guararema";1
"351840 Guaratinguetá";10
"351850 Guareí";1
"351860 Guariba";3
"351870 Guarujá";41
"351880 Guarulhos";74
"351907 Hortolândia";10
"351930 Ibaté";1
"351960 Ibitinga";1
"351970 Ibiúna";1
"351980 Icém";1
"352000 Igaraçu do Tietê";3
"352010 Igarapava";3
"352042 Ilha Comprida";1
"352040 Ilhabela";1
"352050 Indaiatuba";7
"352090 Ipaussu";1
"352100 Iperó";2
"352180 Itaí";1
"352200 Itaju";1
"352210 Itanhaém";6
"352220 Itapecerica da Serra";9
"352230 Itapetininga";7
"352240 Itapeva";1
"352250 Itapevi";17
"352260 Itapira";5
"352310 Itaquaquecetuba";21
"352320 Itararé";4
"352340 Itatiba";1
"352360 Itirapina";2
"352390 Itu";13
"352400 Itupeva";1
"352410 Ituverava";4
"352420 Jaborandi";1
"352430 Jaboticabal";5
"352440 Jacareí";14
"352460 Jacupiranga";3
"352470 Jaguariúna";2
"352480 Jales";1
"352490 Jambeiro";1
"352500 Jandira";9
"352530 Jaú";7
"352540 Jeriquara";1
"352560 João Ramalho";1
"352570 José Bonifácio";2
"352580 Júlio Mesquita";1
"352590 Jundiaí";19
"352610 Juquiá";1
"352620 Juquitiba";2
"352630 Lagoinha";1
"352640 Laranjal Paulista";1
"352650 Lavínia";2
"352670 Leme";7
"352680 Lençóis Paulista";4
"352690 Limeira";22
"352710 Lins";8
"352720 Lorena";13
"352740 Lucélia";2
"352840 Mairinque";1
"352850 Mairiporã";3
"352900 Marília";10
"352920 Martinópolis";1
"352930 Matão";1
"352940 Mauá";21
"352970 Miguelópolis";2
"352980 Mineiros do Tietê";1
"352990 Miracatu";3
"353010 Mirandópolis";1
"353020 Mirante do Paranapanema";1
"353030 Mirassol";6
"353040 Mirassolândia";2
"353050 Mococa";2
"353060 Mogi das Cruzes";26
"353070 Mogi Guaçu";3
"353080 Mogi Mirim";5
"353110 Mongaguá";4
"353130 Monte Alto";3
"353140 Monte Aprazível";4
"353180 Monte Mor";3
"353190 Morro Agudo";1
"353200 Morungaba";1
"353230 Natividade da Serra";1
"353240 Nazaré Paulista";1
"353260 Nhandeara";1
"353290 Nova Europa";1
"353300 Nova Granada";2
"353310 Nova Guataporanga";1
"353350 Novo Horizonte";1
"353390 Olímpia";1
"353400 Onda Verde";1
"353420 Orindiúva";1
"353440 Osasco";36
"353460 Osvaldo Cruz";3
"353470 Ourinhos";4
"353510 Palmares Paulista";2
"353520 Palmeira d'Oeste";1
"353540 Panorama";1
"353550 Paraguaçu Paulista";3
"353560 Paraibuna";1
"353620 Pariquera-Açu";2
"353630 Patrocínio Paulista";2
"353650 Paulínia";2
"353660 Paulo de Faria";1
"353670 Pederneiras";2
