 Mortalidade - São Paulo
Óbitos p/Residênc por Município
Categoria CID-10: B20   Doenc p/HIV result doenc infecc e parasit, B21   Doenc p/HIV result em neopl malig, B22   Doenc p/HIV result em outr doenc espec, B23   Doenc p/HIV result em outr doenc, B24   Doenc p/HIV NE
Período:2010
"Município";"Óbitos_p/Residênc"
"350010 Adamantina";1
"350030 Aguaí";4
"350040 Águas da Prata";1
"350050 Águas de Lindóia";1
"350060 Águas de São Pedro";1
"350070 Agudos";2
"350100 Altinópolis";1
"350130 Álvares Machado";1
"350140 Álvaro de Carvalho";1
"350160 Americana";12
"350170 Américo Brasiliense";1
"350190 Amparo";4
"350210 Andradina";5
"350220 Angatuba";3
"350250 Aparecida";4
"350270 Apiaí";1
"350275 Araçariguama";1
"350280 Araçatuba";18
"350290 Araçoiaba da Serra";1
"350320 Araraquara";20
"350330 Araras";13
"350335 Arco-Íris";1
"350390 Arujá";5
"350400 Assis";6
"350410 Atibaia";9
"350430 Avaí";1
"350450 Avaré";5
"350460 Bady Bassitt";2
"350510 Barbosa";3
"350520 Bariri";1
"350530 Barra Bonita";2
"350550 Barretos";26
"350560 Barrinha";1
"350570 Barueri";20
"350590 Batatais";5
"350600 Bauru";37
"350610 Bebedouro";8
"350635 Bertioga";11
"350650 Birigui";11
"350710 Bom Jesus dos Perdões";1
"350740 Borborema";2
"350750 Botucatu";2
"350760 Bragança Paulista";12
"350810 Buritama";1
"350850 Caçapava";14
"350860 Cachoeira Paulista";1
"350880 Cafelândia";2
"350900 Caieiras";4
"350920 Cajamar";2
"350925 Cajati";7
"350940 Cajuru";1
"350950 Campinas";64
"350960 Campo Limpo Paulista";4
"350970 Campos do Jordão";3
"350980 Campos Novos Paulista";1
"350990 Cananéia";3
"351030 Capela do Alto";1
"351040 Capivari";10
"351050 Caraguatatuba";10
"351060 Carapicuíba";20
"351070 Cardoso";2
"351080 Casa Branca";2
"351100 Castilho";1
"351110 Catanduva";19
"351140 Cerqueira César";1
"351150 Cerquilho";2
"351160 Cesário Lange";1
"355720 Chavantes";1
"351200 Colina";1
"351210 Colômbia";2
"351220 Conchal";1
"351230 Conchas";1
"351240 Cordeirópolis";2
"351280 Cosmópolis";6
"351300 Cotia";11
"351310 Cravinhos";1
"351320 Cristais Paulista";1
"351340 Cruzeiro";13
"351350 Cubatão";13
"351360 Cunha";1
"351380 Diadema";23
"351410 Dois Córregos";2
"351440 Dracena";4
"351490 Elias Fausto";1
"351492 Elisiário";1
"351500 Embu das Artes";9
"351510 Embu-Guaçu";6
"351518 Espírito Santo do Pinhal";4
"351535 Euclides da Cunha Paulista";1
"351560 Fernando Prestes";1
"351550 Fernandópolis";3
"351570 Ferraz de Vasconcelos";6
"351600 Flórida Paulista";1
"351620 Franca";21
"351630 Francisco Morato";6
"351640 Franco da Rocha";12
"351650 Gabriel Monteiro";1
"351660 Gália";1
"351690 General Salgado";1
"351720 Guaiçara";1
"351740 Guaíra";2
"351750 Guapiaçu";1
"351760 Guapiara";1
"351770 Guará";1
"351830 Guararema";1
"351840 Guaratinguetá";8
"351860 Guariba";1
"351870 Guarujá";34
"351880 Guarulhos";80
"351885 Guatapará";1
"351907 Hortolândia";16
"351920 Iacri";1
"351930 Ibaté";1
"351940 Ibirá";1
"351970 Ibiúna";5
"351980 Icém";1
"352000 Igaraçu do Tietê";2
"352030 Iguape";2
"352044 Ilha Solteira";1
"352040 Ilhabela";1
"352050 Indaiatuba";11
"352090 Ipaussu";1
"352115 Ipiguá";1
"352180 Itaí";4
"352190 Itajobi";1
"352210 Itanhaém";14
"352220 Itapecerica da Serra";7
"352230 Itapetininga";15
"352240 Itapeva";8
"352250 Itapevi";9
"352260 Itapira";8
"352280 Itaporanga";1
"352310 Itaquaquecetuba";13
"352320 Itararé";3
"352340 Itatiba";2
"352350 Itatinga";1
"352360 Itirapina";1
"352390 Itu";21
"352410 Ituverava";4
"352430 Jaboticabal";7
"352440 Jacareí";19
"352470 Jaguariúna";1
"352500 Jandira";7
"352510 Jardinópolis";2
"352530 Jaú";8
"352570 José Bonifácio";1
"352580 Júlio Mesquita";1
"352590 Jundiaí";24
"352600 Junqueirópolis";2
"352610 Juquiá";2
"352630 Lagoinha";3
"352650 Lavínia";2
"352670 Leme";9
"352680 Lençóis Paulista";1
"352690 Limeira";26
"352710 Lins";2
"352720 Lorena";10
"352740 Lucélia";1
"352780 Lupércio";1
"352810 Macaubal";1
"352850 Mairiporã";3
"352860 Manduri";1
"352900 Marília";13
"352920 Martinópolis";2
"352930 Matão";2
"352940 Mauá";24
"352970 Miguelópolis";1
