 Mortalidade - São Paulo
Óbitos p/Residênc por Município
Categoria CID-10: B20   Doenc p/HIV result doenc infecc e parasit, B21   Doenc p/HIV result em neopl malig, B22   Doenc p/HIV result em outr doenc espec, B23   Doenc p/HIV result em outr doenc, B24   Doenc p/HIV NE
Período:2006
"Município";"Óbitos_p/Residênc"
"350030 Aguaí";2
"350050 Águas de Lindóia";1
"350070 Agudos";3
"350075 Alambari";1
"350100 Altinópolis";1
"350115 Alumínio";2
"350130 Álvares Machado";1
"350150 Alvinlândia";1
"350160 Americana";17
"350170 Américo Brasiliense";6
"350190 Amparo";8
"350210 Andradina";6
"350220 Angatuba";1
"350250 Aparecida";2
"350270 Apiaí";2
"350275 Araçariguama";1
"350280 Araçatuba";26
"350290 Araçoiaba da Serra";1
"350320 Araraquara";29
"350330 Araras";10
"350350 Areias";1
"350370 Ariranha";1
"350390 Arujá";4
"350400 Assis";7
"350410 Atibaia";4
"350430 Avaí";2
"350440 Avanhandava";1
"350450 Avaré";3
"350460 Bady Bassitt";1
"350470 Balbinos";1
"350530 Barra Bonita";2
"350550 Barretos";22
"350560 Barrinha";3
"350570 Barueri";12
"350590 Batatais";2
"350600 Bauru";49
"350610 Bebedouro";15
"350635 Bertioga";1
"350650 Birigui";5
"350660 Biritiba-Mirim";2
"350670 Boa Esperança do Sul";2
"350680 Bocaina";1
"350700 Boituva";1
"350740 Borborema";2
"350760 Bragança Paulista";6
"350780 Brodowski";1
"350790 Brotas";3
"350830 Cabrália Paulista";1
"350850 Caçapava";12
"350860 Cachoeira Paulista";3
"350880 Cafelândia";1
"350900 Caieiras";3
"350910 Caiuá";1
"350920 Cajamar";2
"350925 Cajati";4
"350950 Campinas";58
"350960 Campo Limpo Paulista";4
"350970 Campos do Jordão";4
"351000 Cândido Mota";1
"351020 Capão Bonito";1
"351040 Capivari";7
"351050 Caraguatatuba";5
"351060 Carapicuíba";22
"351080 Casa Branca";1
"351110 Catanduva";17
"351140 Cerqueira César";1
"351150 Cerquilho";1
"355720 Chavantes";1
"351200 Colina";2
"351210 Colômbia";1
"351220 Conchal";1
"351230 Conchas";1
"351270 Corumbataí";2
"351280 Cosmópolis";2
"351300 Cotia";12
"351310 Cravinhos";1
"351340 Cruzeiro";16
"351350 Cubatão";16
"351370 Descalvado";1
"351380 Diadema";32
"351400 Dobrada";1
"351410 Dois Córregos";1
"351420 Dolcinópolis";1
"351430 Dourado";1
"351440 Dracena";3
"351450 Duartina";1
"351490 Elias Fausto";2
"351500 Embu das Artes";16
"351510 Embu-Guaçu";5
"351518 Espírito Santo do Pinhal";1
"351550 Fernandópolis";4
"351570 Ferraz de Vasconcelos";15
"351600 Flórida Paulista";1
"351620 Franca";34
"351630 Francisco Morato";9
"351640 Franco da Rocha";11
"351690 General Salgado";1
"351720 Guaiçara";2
"351750 Guapiaçu";1
"351770 Guará";2
"351810 Guarantã";1
"351830 Guararema";3
"351840 Guaratinguetá";14
"351850 Guareí";2
"351860 Guariba";3
"351870 Guarujá";32
"351880 Guarulhos";70
"351907 Hortolândia";7
"351930 Ibaté";4
"351960 Ibitinga";3
"351970 Ibiúna";3
"352000 Igaraçu do Tietê";2
"352010 Igarapava";2
"352042 Ilha Comprida";2
"352040 Ilhabela";1
"352050 Indaiatuba";5
"352060 Indiana";1
"352100 Iperó";1
"352115 Ipiguá";1
"352180 Itaí";1
"352190 Itajobi";1
"352210 Itanhaém";10
"352220 Itapecerica da Serra";11
"352230 Itapetininga";7
"352240 Itapeva";1
"352250 Itapevi";11
"352260 Itapira";7
"352270 Itápolis";2
"352280 Itaporanga";3
"352310 Itaquaquecetuba";16
"352320 Itararé";3
"352330 Itariri";1
"352340 Itatiba";5
"352360 Itirapina";4
"352390 Itu";22
"352420 Jaborandi";1
"352430 Jaboticabal";6
"352440 Jacareí";21
"352460 Jacupiranga";3
"352470 Jaguariúna";3
"352480 Jales";3
"352500 Jandira";6
"352510 Jardinópolis";2
"352520 Jarinu";1
"352530 Jaú";8
"352570 José Bonifácio";4
"352590 Jundiaí";28
"352610 Juquiá";1
"352620 Juquitiba";2
"352630 Lagoinha";4
"352640 Laranjal Paulista";1
"352670 Leme";9
"352680 Lençóis Paulista";2
"352690 Limeira";14
"352710 Lins";3
"352720 Lorena";12
"352730 Louveira";1
"352740 Lucélia";2
"352750 Lucianópolis";1
"352810 Macaubal";1
"352830 Magda";1
"352840 Mairinque";5
"352850 Mairiporã";2
"352870 Marabá Paulista";1
"352880 Maracaí";1
"352900 Marília";17
"352920 Martinópolis";1
"352930 Matão";5
"352940 Mauá";15
"352960 Meridiano";1
"352970 Miguelópolis";2
"352990 Miracatu";4
"353010 Mirandópolis";4
"353020 Mirante do Paranapanema";2
"353030 Mirassol";5
"353050 Mococa";3
"353060 Mogi das Cruzes";24
"353070 Mogi Guaçu";3
"353080 Mogi Mirim";9
"353100 Monções";1
"353110 Mongaguá";5
"353130 Monte Alto";4
