 Mortalidade - São Paulo
Óbitos p/Residênc por Município
Categoria CID-10: B20   Doenc p/HIV result doenc infecc e parasit, B21   Doenc p/HIV result em neopl malig, B22   Doenc p/HIV result em outr doenc espec, B23   Doenc p/HIV result em outr doenc, B24   Doenc p/HIV NE
Período:2007
"Município";"Óbitos_p/Residênc"
"350050 Águas de Lindóia";2
"350070 Agudos";1
"350075 Alambari";1
"350100 Altinópolis";1
"350115 Alumínio";1
"350160 Americana";13
"350170 Américo Brasiliense";6
"350180 Américo de Campos";1
"350190 Amparo";4
"350210 Andradina";4
"350250 Aparecida";7
"350260 Aparecida d'Oeste";1
"350280 Araçatuba";18
"350320 Araraquara";24
"350330 Araras";16
"350380 Artur Nogueira";1
"350390 Arujá";3
"350400 Assis";10
"350410 Atibaia";6
"350440 Avanhandava";2
"350450 Avaré";6
"350460 Bady Bassitt";1
"350470 Balbinos";2
"350510 Barbosa";1
"350520 Bariri";1
"350530 Barra Bonita";2
"350550 Barretos";18
"350560 Barrinha";1
"350570 Barueri";13
"350590 Batatais";4
"350600 Bauru";52
"350610 Bebedouro";16
"350620 Bento de Abreu";1
"350635 Bertioga";8
"350650 Birigui";6
"350660 Biritiba-Mirim";2
"350710 Bom Jesus dos Perdões";1
"350740 Borborema";1
"350750 Botucatu";2
"350760 Bragança Paulista";14
"350790 Brotas";2
"350810 Buritama";1
"350850 Caçapava";10
"350860 Cachoeira Paulista";3
"350880 Cafelândia";1
"350900 Caieiras";6
"350920 Cajamar";5
"350925 Cajati";1
"350930 Cajobi";1
"350950 Campinas";53
"350960 Campo Limpo Paulista";3
"350970 Campos do Jordão";3
"350990 Cananéia";1
"351000 Cândido Mota";1
"351020 Capão Bonito";3
"351040 Capivari";1
"351050 Caraguatatuba";13
"351060 Carapicuíba";26
"351080 Casa Branca";3
"351100 Castilho";2
"351110 Catanduva";23
"351150 Cerquilho";1
"351170 Charqueada";2
"355720 Chavantes";1
"351200 Colina";2
"351220 Conchal";3
"351230 Conchas";2
"351240 Cordeirópolis";2
"351280 Cosmópolis";5
"351300 Cotia";10
"351310 Cravinhos";1
"351340 Cruzeiro";14
"351350 Cubatão";11
"351370 Descalvado";3
"351380 Diadema";31
"351410 Dois Córregos";1
"351440 Dracena";3
"351470 Echaporã";1
"351500 Embu das Artes";11
"351510 Embu-Guaçu";4
"351512 Emilianópolis";1
"351515 Engenheiro Coelho";2
"351518 Espírito Santo do Pinhal";2
"351540 Fartura";1
"351560 Fernando Prestes";1
"351550 Fernandópolis";4
"351570 Ferraz de Vasconcelos";7
"351620 Franca";26
"351630 Francisco Morato";13
"351640 Franco da Rocha";21
"351670 Garça";1
"351685 Gavião Peixoto";1
"351700 Getulina";1
"351740 Guaíra";3
"351750 Guapiaçu";1
"351760 Guapiara";1
"351820 Guararapes";1
"351830 Guararema";2
"351840 Guaratinguetá";9
"351860 Guariba";7
"351870 Guarujá";31
"351880 Guarulhos";91
"351885 Guatapará";1
"351907 Hortolândia";5
"351930 Ibaté";1
"351950 Ibirarema";1
"351960 Ibitinga";2
"351970 Ibiúna";1
"352010 Igarapava";1
"352030 Iguape";2
"352042 Ilha Comprida";1
"352040 Ilhabela";2
"352050 Indaiatuba";15
"352090 Ipaussu";1
"352100 Iperó";3
"352140 Iracemápolis";2
"352180 Itaí";2
"352210 Itanhaém";6
"352220 Itapecerica da Serra";7
"352230 Itapetininga";12
"352240 Itapeva";3
"352250 Itapevi";15
"352260 Itapira";9
"352270 Itápolis";4
"352290 Itapuí";1
"352300 Itapura";1
"352310 Itaquaquecetuba";16
"352320 Itararé";2
"352330 Itariri";1
"352340 Itatiba";4
"352350 Itatinga";1
"352390 Itu";15
"352400 Itupeva";1
"352410 Ituverava";3
"352420 Jaborandi";1
"352430 Jaboticabal";8
"352440 Jacareí";15
"352460 Jacupiranga";3
"352470 Jaguariúna";2
"352480 Jales";1
"352500 Jandira";7
"352510 Jardinópolis";2
"352530 Jaú";5
"352570 José Bonifácio";1
"352590 Jundiaí";23
"352600 Junqueirópolis";3
"352610 Juquiá";2
"352620 Juquitiba";1
"352630 Lagoinha";2
"352640 Laranjal Paulista";2
"352660 Lavrinhas";1
"352670 Leme";7
"352680 Lençóis Paulista";3
"352690 Limeira";24
"352710 Lins";4
"352720 Lorena";16
"352730 Louveira";3
"352740 Lucélia";3
"352750 Lucianópolis";2
"352760 Luís Antônio";1
"352840 Mairinque";3
"352850 Mairiporã";5
"352870 Marabá Paulista";1
"352900 Marília";16
"352930 Matão";6
"352940 Mauá";22
"352950 Mendonça";3
"352970 Miguelópolis";4
"352980 Mineiros do Tietê";2
"352990 Miracatu";1
"353010 Mirandópolis";8
"353030 Mirassol";6
"353040 Mirassolândia";1
"353050 Mococa";3
"353060 Mogi das Cruzes";18
"353070 Mogi Guaçu";9
"353080 Mogi Mirim";11
"353100 Monções";1
"353110 Mongaguá";4
"353130 Monte Alto";9
"353140 Monte Aprazível";2
"353150 Monte Azul Paulista";3
"353180 Monte Mor";4
"353190 Morro Agudo";1
"353240 Nazaré Paulista";1
"353260 Nhandeara";1
"353290 Nova Europa";1
"353340 Nova Odessa";1
"353390 Olímpia";4
"353440 Osasco";36
"353460 Osvaldo Cruz";1
"353470 Ourinhos";9
"353480 Ouro Verde";1
"353500 Palestina";2
"353540 Panorama";1
"353570 Paraíso";1
"353600 Parapuã";1
"353630 Patrocínio Paulista";1
"353640 Paulicéia";1
"353650 Paulínia";4
"353670 Pederneiras";3
"353700 Pedregulho";1
"353710 Pedreira";3
"353730 Penápolis";1
"353740 Pereira Barreto";5
"353750 Pereiras";1
"353760 Peruíbe";4
"353780 Piedade";3
"353790 Pilar do Sul";1
"353800 Pindamonhangaba";7
"353860 Piracaia";2
"353870 Piracicaba";38
"353890 Pirajuí";2
"353910 Pirapora do Bom Jesus";3
"353920 Pirapozinho";1
"353930 Pirassununga";3
"353940 Piratininga";1
"353950 Pitangueiras";1
"353980 Poá";9
"354000 Pompéia";1
"354020 Pontal";1
"354040 Populina";1
"354060 Porto Feliz";1
"354070 Porto Ferreira";4
"354075 Potim";4
"354100 Praia Grande";27
"354130 Presidente Epitácio";5
"354140 Presidente Prudente";17
"354150 Presidente Venceslau";1
"354170 Quatá";2
"354180 Queiroz";1
"354190 Queluz";1
"354210 Rafard";1
"354220 Rancharia";1
"354250 Reginópolis";1
"354260 Registro";1
"354290 Ribeirão Bonito";2
"354300 Ribeirão Branco";1
"354330 Ribeirão Pires";4
"354340 Ribeirão Preto";80
"354370 Rincão";1
"354390 Rio Claro";18
"354410 Rio Grande da Serra";2
"354425 Rosana";1
"354430 Roseira";1
"354515 Saltinho";1
"354520 Salto";5
"354530 Salto de Pirapora";2
"354540 Salto Grande";2
"354580 Santa Bárbara d'Oeste";8
"354600 Santa Branca";2
"354640 Santa Cruz do Rio Pardo";4
"354680 Santa Isabel";1
"354690 Santa Lúcia";1
"354710 Santa Mercedes";1
"354750 Santa Rita do Passa Quatro";1
"354760 Santa Rosa de Viterbo";1
"354730 Santana de Parnaíba";2
"354780 Santo André";51
"354800 Santo Antônio de Posse";2
"354850 Santos";66
"354870 São Bernardo do Campo";31
"354880 São Caetano do Sul";15
"354890 São Carlos";23
"354910 São João da Boa Vista";5
"354940 São Joaquim da Barra";1
"354960 São José do Barreiro";1
"354970 São José do Rio Pardo";1
"354980 São José do Rio Preto";46
"354990 São José dos Campos";39
"355000 São Luís do Paraitinga";1
"355010 São Manuel";2
"355030 São Paulo";944
"355040 São Pedro";7
"355060 São Roque";4
"355070 São Sebastião";6
"355100 São Vicente";54
"355110 Sarapuí";1
"355140 Serra Azul";2
"355150 Serrana";2
"355170 Sertãozinho";8
"355180 Sete Barras";1
"355210 Socorro";2
"355220 Sorocaba";52
"355240 Sumaré";8
"355250 Suzano";17
"355270 Tabatinga";3
"355280 Taboão da Serra";23
"355320 Taiúva";1
"355340 Tanabi";2
"355365 Taquaral";1
"355370 Taquaritinga";8
"355400 Tatuí";8
"355410 Taubaté";33
"355440 Terra Roxa";1
"355450 Tietê";1
"355470 Torrinha";1
"355480 Tremembé";3
"355490 Três Fronteiras";1
"355500 Tupã";6
"355510 Tupi Paulista";1
"355535 Ubarana";2
"355540 Ubatuba";9
"355600 Urupês";1
"355620 Valinhos";5
"355630 Valparaíso";3
"355640 Vargem Grande do Sul";2
"355645 Vargem Grande Paulista";2
"355650 Várzea Paulista";4
"355670 Vinhedo";7
"355695 Vitória Brasil";1
"355700 Votorantim";5
"355710 Votuporanga";13
"350000 Município ignorado - SP";6
"Total";3108
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
