 Mortalidade - São Paulo
Óbitos p/Residênc por Município
Categoria CID-10: B20   Doenc p/HIV result doenc infecc e parasit, B21   Doenc p/HIV result em neopl malig, B22   Doenc p/HIV result em outr doenc espec, B23   Doenc p/HIV result em outr doenc, B24   Doenc p/HIV NE
Período:2009
"Município";"Óbitos_p/Residênc"
"350010 Adamantina";2
"350070 Agudos";1
"350100 Altinópolis";1
"350130 Álvares Machado";2
"350140 Álvaro de Carvalho";1
"350160 Americana";14
"350170 Américo Brasiliense";2
"350190 Amparo";7
"350210 Andradina";4
"350250 Aparecida";5
"350270 Apiaí";1
"350280 Araçatuba";20
"350320 Araraquara";11
"350330 Araras";10
"350360 Areiópolis";1
"350380 Artur Nogueira";2
"350390 Arujá";6
"350400 Assis";5
"350410 Atibaia";11
"350430 Avaí";1
"350450 Avaré";1
"350470 Balbinos";1
"350530 Barra Bonita";3
"350540 Barra do Turvo";2
"350550 Barretos";25
"350560 Barrinha";2
"350570 Barueri";12
"350590 Batatais";6
"350600 Bauru";30
"350610 Bebedouro";12
"350630 Bernardino de Campos";1
"350635 Bertioga";7
"350650 Birigui";4
"350660 Biritiba-Mirim";1
"350670 Boa Esperança do Sul";1
"350690 Bofete";1
"350700 Boituva";5
"350750 Botucatu";3
"350760 Bragança Paulista";8
"350790 Brotas";2
"350810 Buritama";1
"350850 Caçapava";20
"350860 Cachoeira Paulista";2
"350900 Caieiras";4
"350910 Caiuá";1
"350920 Cajamar";5
"350925 Cajati";2
"350950 Campinas";51
"350960 Campo Limpo Paulista";5
"350970 Campos do Jordão";4
"350990 Cananéia";1
"351000 Cândido Mota";1
"351020 Capão Bonito";4
"351040 Capivari";10
"351050 Caraguatatuba";12
"351060 Carapicuíba";29
"351070 Cardoso";2
"351080 Casa Branca";2
"351110 Catanduva";17
"351150 Cerquilho";3
"351160 Cesário Lange";1
"351190 Clementina";1
"351200 Colina";2
"351210 Colômbia";1
"351220 Conchal";1
"351230 Conchas";1
"351240 Cordeirópolis";1
"351280 Cosmópolis";3
"351290 Cosmorama";2
"351300 Cotia";16
"351310 Cravinhos";3
"351340 Cruzeiro";10
"351350 Cubatão";16
"351360 Cunha";1
"351380 Diadema";21
"351410 Dois Córregos";1
"351440 Dracena";5
"351490 Elias Fausto";2
"351492 Elisiário";1
"351500 Embu das Artes";15
"351510 Embu-Guaçu";3
"355730 Estiva Gerbi";1
"351540 Fartura";1
"351550 Fernandópolis";3
"351570 Ferraz de Vasconcelos";11
"351600 Flórida Paulista";1
"351610 Florínia";1
"351620 Franca";20
"351630 Francisco Morato";14
"351640 Franco da Rocha";4
"351670 Garça";1
"351690 General Salgado";1
"351720 Guaiçara";1
"351730 Guaimbê";1
"351740 Guaíra";2
"351780 Guaraçaí";1
"351820 Guararapes";2
"351830 Guararema";2
"351840 Guaratinguetá";9
"351850 Guareí";1
"351870 Guarujá";37
"351880 Guarulhos";82
"351885 Guatapará";2
"351907 Hortolândia";2
"351930 Ibaté";1
"351960 Ibitinga";3
"351970 Ibiúna";2
"351990 Iepê";1
"352000 Igaraçu do Tietê";2
"352030 Iguape";2
"352044 Ilha Solteira";1
"352040 Ilhabela";2
"352050 Indaiatuba";8
"352100 Iperó";1
"352140 Iracemápolis";2
"352170 Itaberá";1
"352180 Itaí";4
"352190 Itajobi";1
"352210 Itanhaém";15
"352220 Itapecerica da Serra";7
"352230 Itapetininga";15
"352240 Itapeva";1
"352250 Itapevi";18
"352260 Itapira";4
"352270 Itápolis";1
"352290 Itapuí";1
"352310 Itaquaquecetuba";19
"352320 Itararé";2
"352340 Itatiba";3
"352360 Itirapina";1
"352370 Itirapuã";1
"352390 Itu";20
"352400 Itupeva";1
"352410 Ituverava";4
"352430 Jaboticabal";13
"352440 Jacareí";27
"352450 Jaci";1
"352460 Jacupiranga";2
"352480 Jales";3
"352490 Jambeiro";1
"352500 Jandira";3
"352510 Jardinópolis";4
"352530 Jaú";7
"352570 José Bonifácio";3
"352590 Jundiaí";25
"352600 Junqueirópolis";1
"352610 Juquiá";2
"352620 Juquitiba";5
"352640 Laranjal Paulista";1
"352650 Lavínia";1
"352670 Leme";15
"352680 Lençóis Paulista";2
"352690 Limeira";25
"352700 Lindóia";1
"352710 Lins";3
"352720 Lorena";13
"352730 Louveira";1
"352750 Lucianópolis";1
"352810 Macaubal";3
"352840 Mairinque";1
"352850 Mairiporã";3
"352900 Marília";9
"352930 Matão";8
"352940 Mauá";27
"352970 Miguelópolis";1
"352990 Miracatu";6
"353010 Mirandópolis";2
"353030 Mirassol";8
"353040 Mirassolândia";1
"353050 Mococa";3
"353060 Mogi das Cruzes";22
"353070 Mogi Guaçu";8
"353080 Mogi Mirim";3
"353110 Mongaguá";3
"353130 Monte Alto";5
"353140 Monte Aprazível";2
"353150 Monte Azul Paulista";1
"353180 Monte Mor";5
"353190 Morro Agudo";2
"353280 Nova Aliança";1
"353290 Nova Europa";2
"353340 Nova Odessa";2
"353350 Novo Horizonte";2
"353360 Nuporanga";1
"353390 Olímpia";2
"353430 Orlândia";1
"353440 Osasco";52
"353460 Osvaldo Cruz";1
"353470 Ourinhos";9
"353500 Palestina";1
"353510 Palmares Paulista";1
"353540 Panorama";2
"353550 Paraguaçu Paulista";2
"353657 Paulistânia";1
"353660 Paulo de Faria";1
"353670 Pederneiras";2
"353700 Pedregulho";1
"353710 Pedreira";2
"353730 Penápolis";1
"353740 Pereira Barreto";9
"353760 Peruíbe";6
"353780 Piedade";1
"353790 Pilar do Sul";1
"353800 Pindamonhangaba";6
"353850 Piquete";1
"353870 Piracicaba";30
"353890 Pirajuí";1
"353900 Pirangi";2
"353910 Pirapora do Bom Jesus";3
"353930 Pirassununga";8
"353940 Piratininga";2
"353950 Pitangueiras";2
"353960 Planalto";1
"353980 Poá";5
"353990 Poloni";1
"354000 Pompéia";3
"354010 Pongaí";1
"354020 Pontal";2
"354025 Pontalinda";1
"354060 Porto Feliz";2
"354070 Porto Ferreira";3
"354075 Potim";3
"354080 Potirendaba";1
"354100 Praia Grande";34
"354120 Presidente Bernardes";1
"354130 Presidente Epitácio";4
"354140 Presidente Prudente";14
"354150 Presidente Venceslau";1
"354165 Quadra";1
"354180 Queiroz";1
"354210 Rafard";1
"354220 Rancharia";1
"354240 Regente Feijó";1
"354260 Registro";3
"354280 Ribeira";1
"354290 Ribeirão Bonito";1
"354330 Ribeirão Pires";4
"354340 Ribeirão Preto";68
"354390 Rio Claro";13
"354400 Rio das Pedras";1
"354410 Rio Grande da Serra";2
"354350 Riversul";1
"354425 Rosana";1
"354430 Roseira";1
"354450 Rubinéia";1
"354500 Salesópolis";1
"354515 Saltinho";1
"354520 Salto";8
"354530 Salto de Pirapora";1
"354580 Santa Bárbara d'Oeste";8
"354640 Santa Cruz do Rio Pardo";3
"354660 Santa Fé do Sul";1
"354670 Santa Gertrudes";1
"354680 Santa Isabel";2
"354690 Santa Lúcia";1
